	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	diagnostic_odds_ratio	accuracy	informedness	f1_score	markedness	threat_score	specificity	recall	false_omission_rate	miss_rate	fall_out	negative_predictive_value	prevalence	precision	false_discovery_rate	prevalence_threshold	balanced_accuracy	positive_likelyhood_ratio	matthews_correlation_coefficient	fowlkes_mallows_index	negative_likelyhood_ratio	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')	('features_parameters', 'random_state')	('features_parameters', 'embedding_size')	('features_parameters', 'epochs')	('features_parameters', 'learning_rate')	('features_parameters', 'learning_rate_decay')	('features_parameters', 'avoid_false_negatives')	('features_parameters', 'use_scale_free_distribution')	('features_parameters', 'node_embedding_path')	('features_parameters', 'dtype')	('features_parameters', 'verbose')	('features_parameters', 'contextual_node_embedding_path')	('features_parameters', 'clipping_value')	('features_parameters', 'number_of_negative_samples')	('features_parameters', 'walk_length')	('features_parameters', 'iterations')	('features_parameters', 'window_size')	('features_parameters', 'max_neighbours')	('features_parameters', 'central_nodes_embedding_path')	('features_parameters', 'contextual_nodes_embedding_path')	('features_parameters', 'normalize_by_degree')	('features_parameters', 'stochastic_downsample_by_degree')	('features_parameters', 'normalize_learning_rate_by_degree')	('features_parameters', 'return_weight')	('features_parameters', 'explore_weight')
0	train	0.1288612562635842	1.0	True	False	0.5534952002656446	0.4601753527040385	-0.07964929459192305	0.18677295727836282	-0.1453737486489869	0.10300583042155512	0.7963697745111102	0.12398093089696673	0.5238130309515208	0.8760190691030333	0.20363022548888976	0.47618696904847924	0.5	0.3784392823025339	0.6215607176974661	0.5617060777588736	0.4601753527040385	0.6088532809866737	-0.10760537408547646	0.21660852824357615	1.1000154666101178	0.5042793222595002	0.46894172849491267	0.07637262344360352	0.16102027893066406	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	5.833445310592651	0.27275800704956055	5.4836273193359375e-06	2.6226043701171875e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.556257911518291	0.46070495658802313	-0.07859008682395374	0.18628772803380292	-0.14418248612442386	0.1027107391360667	0.797946065034302	0.12346384814174428	0.523466981623071	0.8765361518582557	0.202053934965698	0.47653301837692896	0.5	0.3792844954986471	0.6207155045013528	0.5612639071244407	0.46070495658802313	0.6110440173446972	-0.10644864537894308	0.2163976047805591	1.098490474817462	0.502732970549297	0.4686087452926993	0.07637262344360352	0.16102027893066406	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	5.833445310592651	0.27275800704956055	5.4836273193359375e-06	2.6226043701171875e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5485111481895923	0.459732245499983	-0.08053550900003414	0.18522114196124612	-0.1475134917101104	0.10206265140283599	0.7966471038451169	0.12281738715484893	0.5240572586915473	0.8771826128451511	0.20335289615488306	0.4759427413084527	0.5	0.3765437669814368	0.6234562330185631	0.5626987627082201	0.45973224549998293	0.6039618292984894	-0.10899575284957694	0.21504911441367142	1.101093079496956	0.5042522015197654	0.4689140881900417	0.09699654579162598	0.20032119750976562	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.110934495925903	0.29329419136047363	8.821487426757812e-06	2.1457672119140625e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.5493472216878321	0.4598718091732203	-0.08025638165355942	0.18518064052447983	-0.14715064556334045	0.10203805660195113	0.7969909085838586	0.12275270976258204	0.5239680296716629	0.877247290237418	0.20300909141614143	0.4760319703283371	0.5	0.3768173841083225	0.6231826158916776	0.562555378298967	0.4598718091732203	0.6046660713876869	-0.10867280419175304	0.21507058140281368	1.1006992436038747	0.5025641767901211	0.46836243740270833	0.09699654579162598	0.20032119750976562	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.110934495925903	0.29329419136047363	8.821487426757812e-06	2.1457672119140625e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5485111481895923	0.459732245499983	-0.08053550900003414	0.18522114196124612	-0.1475134917101104	0.10206265140283599	0.7966471038451169	0.12281738715484893	0.5240572586915473	0.8771826128451511	0.20335289615488306	0.4759427413084527	0.5	0.3765437669814368	0.6234562330185631	0.5626987627082201	0.45973224549998293	0.6039618292984894	-0.10899575284957694	0.21504911441367142	1.101093079496956	0.504252202704368	0.46891408909547083	0.09179973602294922	0.1712813377380371	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.110934495925903	0.29329419136047363	8.821487426757812e-06	2.1457672119140625e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.5493472216878321	0.4598718091732203	-0.08025638165355942	0.18518064052447983	-0.14715064556334045	0.10203805660195113	0.7969909085838586	0.12275270976258204	0.5239680296716629	0.877247290237418	0.20300909141614143	0.4760319703283371	0.5	0.3768173841083225	0.6231826158916776	0.562555378298967	0.4598718091732203	0.6046660713876869	-0.10867280419175304	0.21507058140281368	1.1006992436038747	0.5025641732201324	0.4683624354545009	0.09179973602294922	0.1712813377380371	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.110934495925903	0.29329419136047363	8.821487426757812e-06	2.1457672119140625e-06	First-order LINE	168	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5681298832892844	0.4614702018151902	-0.07705959636961957	0.19134944051758884	-0.13917914797291375	0.10579679945049644	0.7955091239801563	0.1274312796502242	0.5230983214097464	0.8725687203497758	0.20449087601984373	0.47690167859025356	0.5	0.3839191734368327	0.6160808265631673	0.5588443084417569	0.4614702018151902	0.6231636449044226	-0.10356200541637017	0.22118614683861182	1.096868274727094	0.5042454571164038	0.469067803836112	0.10097765922546387	0.21580886840820312	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.492715120315552	0.29816460609436035	6.198883056640625e-06	1.9073486328125e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.571529368190022	0.4618425455965196	-0.07631490880696079	0.19205124716078587	-0.13775595957115405	0.10622604587612751	0.795763846282559	0.12792124491048024	0.5228783305883238	0.8720787550895197	0.20423615371744097	0.4771216694116762	0.5	0.38512237101716973	0.6148776289828303	0.5582175192892471	0.4618425455965196	0.6263398648187344	-0.10253210956713993	0.22195795354839665	1.095901452627521	0.5029078910031826	0.4687235091264758	0.10097765922546387	0.21580886840820312	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.492715120315552	0.29816460609436035	6.198883056640625e-06	1.9073486328125e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5681298832892844	0.4614702018151902	-0.07705959636961957	0.19134944051758884	-0.13917914797291375	0.10579679945049644	0.7955091239801563	0.1274312796502242	0.5230983214097464	0.8725687203497758	0.20449087601984373	0.47690167859025356	0.5	0.3839191734368327	0.6160808265631673	0.5588443084417569	0.4614702018151902	0.6231636449044226	-0.10356200541637017	0.22118614683861182	1.096868274727094	0.5042454998713192	0.4690678231946832	0.10117816925048828	0.1691296100616455	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.492715120315552	0.29816460609436035	6.198883056640625e-06	1.9073486328125e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.571529368190022	0.4618425455965196	-0.07631490880696079	0.19205124716078587	-0.13775595957115405	0.10622604587612751	0.795763846282559	0.12792124491048024	0.5228783305883238	0.8720787550895197	0.20423615371744097	0.4771216694116762	0.5	0.38512237101716973	0.6148776289828303	0.5582175192892471	0.4618425455965196	0.6263398648187344	-0.10253210956713993	0.22195795354839665	1.095901452627521	0.5029078581819703	0.4687235025013944	0.10117816925048828	0.1691296100616455	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.492715120315552	0.29816460609436035	6.198883056640625e-06	1.9073486328125e-06	First-order LINE	210	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5442302641061202	0.4581379891609161	-0.08372402167816784	0.18939192892877466	-0.14941792247039043	0.1046012839303887	0.7896743626847958	0.1266016156370363	0.5251714850798898	0.8733983843629637	0.21032563731520415	0.47482851492011025	0.5	0.3757535626094994	0.6242464373905006	0.5631130290407116	0.4581379891609161	0.6019314490287507	-0.11184752737552031	0.21810779011244624	1.1060234770615023	0.5052408635701784	0.4689393166589948	0.0905447006225586	0.20150089263916016	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	5	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.092195987701416	0.28025221824645996	5.245208740234375e-06	2.1457672119140625e-06	First-order LINE	252	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
