	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	balanced_accuracy	negative_predictive_value	prevalence	miss_rate	markedness	false_omission_rate	f1_score	matthews_correlation_coefficient	fall_out	prevalence_threshold	false_discovery_rate	specificity	informedness	diagnostic_odds_ratio	accuracy	positive_likelyhood_ratio	fowlkes_mallows_index	recall	negative_likelyhood_ratio	threat_score	precision	auroc	auprc	time_required_for_training	time_required_for_evaluation	time	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')	('features_parameters', 'random_state')	('features_parameters', 'embedding_size')	('features_parameters', 'epochs')	('features_parameters', 'learning_rate')	('features_parameters', 'learning_rate_decay')	('features_parameters', 'avoid_false_negatives')	('features_parameters', 'use_scale_free_distribution')	('features_parameters', 'node_embedding_path')	('features_parameters', 'dtype')	('features_parameters', 'verbose')	('features_parameters', 'contextual_node_embedding_path')	('features_parameters', 'clipping_value')	('features_parameters', 'number_of_negative_samples')	('features_parameters', 'walk_length')	('features_parameters', 'iterations')	('features_parameters', 'window_size')	('features_parameters', 'max_neighbours')	('features_parameters', 'central_nodes_embedding_path')	('features_parameters', 'contextual_nodes_embedding_path')	('features_parameters', 'normalize_by_degree')	('features_parameters', 'stochastic_downsample_by_degree')	('features_parameters', 'normalize_learning_rate_by_degree')	('features_parameters', 'return_weight')	('features_parameters', 'explore_weight')
0	train	0.007185042262073829	1.0	True	False	0.7707197382769901	0.7521584560690706	0.5	0.26608505997818976	0.5443891800243383	0.24784154393092941	0.7619586753467308	0.5429123250341885	0.19247546346782984	0.33867325886859956	0.20776927604473217	0.8075245365321702	0.5414394765539803	11.571924487995172	0.7707197382769901	3.8130311614730883	0.7625155501726281	0.7339149400218102	0.32950708980418636	0.6154549611339735	0.7922307239552678	0.8239348475244652	0.8314885340924658	4.205593824386597	0.007262468338012695	1689629194.6204362	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.5928077697753906	2.39507794380188	6.580352783203125e-05	6.67572021484375e-06	1.4781951904296875e-05	First-order LINE	126		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.6963993453355155	0.6595744680851063	0.5	0.4189852700490998	0.4148936170212765	0.3404255319148936	0.6567992599444958	0.40369502044702715	0.18821603927986907	0.36271655629903127	0.24468085106382975	0.8117839607201309	0.392798690671031	5.980978260869565	0.6963993453355155	3.0869565217391304	0.6624587167106285	0.5810147299509002	0.5161290322580645	0.4889807162534435	0.7553191489361702	0.7260989871986843	0.7387541427710518	4.205593824386597	0.007262468338012695	1689629194.6204362	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.5928077697753906	2.39507794380188	6.580352783203125e-05	6.67572021484375e-06	1.4781951904296875e-05	First-order LINE	126		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.6758451472191931	0.6659804426145136	0.5	0.3538713195201745	0.3529369643536442	0.3340195573854864	0.6659173925259905	0.35231307797429723	0.29443838604143946	0.4030038721835705	0.31304347826086953	0.7055616139585605	0.3516902944383862	4.375363807567198	0.675845147219193	2.1944444444444446	0.6662299234786103	0.6461286804798255	0.5015455950540958	0.4991575400168492	0.6869565217391305	0.7346799042441987	0.7128995986083484	4.2024617195129395	0.004669189453125	1689629201.7450547	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.573169469833374	2.3812949657440186	9.059906005859375e-06	2.1457672119140625e-06	2.86102294921875e-06	First-order LINE	168		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.613747954173486	0.59254327563249	0.5	0.5008183306055647	0.24010166204437944	0.40745672436750996	0.5637707948243993	0.23371381153539866	0.2716857610474632	0.4245403657322032	0.35244161358811044	0.7283142389525368	0.2274959083469721	2.6719623592408843	0.613747954173486	1.8373493975903612	0.5685501528972214	0.49918166939443537	0.6876404494382024	0.39253539253539255	0.6475583864118896	0.6524786979569861	0.6389600739378517	4.2024617195129395	0.004669189453125	1689629201.7450547	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.573169469833374	2.3812949657440186	9.059906005859375e-06	2.1457672119140625e-06	2.86102294921875e-06	First-order LINE	168		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.7674482006543075	0.7511520737327189	0.5	0.26499454743729556	0.5371579046365089	0.2488479262672811	0.759650605804452	0.5360259603084022	0.2001090512540894	0.3428751325222918	0.21399416909620994	0.7998909487459106	0.534896401308615	11.087092542133414	0.7674482006543075	3.6730245231607634	0.7600780035367191	0.7350054525627044	0.33128834355828224	0.6124488868696047	0.7860058309037901	0.8208613146324901	0.8275547438048567	4.073934316635132	0.0070612430572509766	1689629206.0766895	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.573169469833374	2.3812949657440186	9.059906005859375e-06	2.1457672119140625e-06	2.86102294921875e-06	First-order LINE	168		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.6947626841243862	0.6634615384615384	0.5	0.40098199672667756	0.40435222672064786	0.33653846153846156	0.6624434389140271	0.3968695629745011	0.20949263502454996	0.37161339552730643	0.2591093117408907	0.79050736497545	0.3895253682487725	5.63705357142857	0.6947626841243862	2.8593749999999996	0.666188307256116	0.5990180032733224	0.5072463768115942	0.4952638700947226	0.7408906882591093	0.7107797311161173	0.7362583791786581	4.073934316635132	0.0070612430572509766	1689629206.0766895	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.573169469833374	2.3812949657440186	9.059906005859375e-06	2.1457672119140625e-06	2.86102294921875e-06	First-order LINE	168		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.6766630316248636	0.6629778672032194	0.5	0.36532170119956375	0.3558350100603622	0.33702213279678067	0.6624928856004553	0.3545783175421968	0.2813522355507089	0.3996903624050018	0.30714285714285716	0.7186477644492911	0.35332606324972726	4.43755640402638	0.6766630316248636	2.255813953488372	0.663129996863588	0.6346782988004362	0.5083459787556904	0.49531914893617024	0.6928571428571428	0.7363118080983341	0.7115368398575527	4.247369766235352	0.006622314453125	1689629213.4457867	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6814448833465576	2.4453494548797607	8.606910705566406e-05	5.9604644775390625e-06	8.106231689453125e-06	First-order LINE	210		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.6235679214402619	0.5997357992073976	0.5	0.4959083469721768	0.2621013906052472	0.4002642007926024	0.5724907063197026	0.25450864049651656	0.2569558101472995	0.4165561408105352	0.33763440860215055	0.7430441898527005	0.2471358428805237	2.939437892833869	0.6235679214402619	1.9617834394904456	0.5778347219374184	0.5040916530278232	0.6674008810572688	0.4010416666666667	0.6623655913978495	0.6640478301515318	0.6617471436008826	4.247369766235352	0.006622314453125	1689629213.4457867	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6814448833465576	2.4453494548797607	8.606910705566406e-05	5.9604644775390625e-06	8.106231689453125e-06	First-order LINE	210		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.7652671755725191	0.7485947879407255	0.5	0.2682660850599782	0.5329314331774291	0.2514052120592744	0.7571227080394922	0.5317315413868005	0.2011995637949836	0.3439908143657507	0.21566335476329634	0.7988004362050164	0.5305343511450382	10.829257276312605	0.7652671755725191	3.6368563685636865	0.7575788566545243	0.7317339149400218	0.3358361774744027	0.6091693145710395	0.7843366452367037	0.8202030083637674	0.8301897716250168	4.283055305480957	0.005910634994506836	1689629217.9779456	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6814448833465576	2.4453494548797607	8.606910705566406e-05	5.9604644775390625e-06	8.106231689453125e-06	First-order LINE	210		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.7062193126022913	0.6679999999999999	0.5	0.4075286415711947	0.43494915254237276	0.332	0.6685133887349953	0.42354436663527295	0.18003273322422264	0.3553551293957292	0.23305084745762716	0.8199672667757774	0.41243862520458263	6.621467688937567	0.7062193126022913	3.29090909090909	0.6740885744860245	0.5924713584288053	0.49700598802395207	0.5020804438280166	0.7669491525423728	0.7437352841120645	0.7715561197864186	4.283055305480957	0.005910634994506836	1689629217.9779456	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6814448833465576	2.4453494548797607	8.606910705566406e-05	5.9604644775390625e-06	8.106231689453125e-06	First-order LINE	210		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.6908396946564885	0.6776649746192893	0.5	0.3462377317339149	0.38378982738725176	0.3223350253807107	0.6789354473386183	0.3827331537007202	0.272082878953108	0.39214170283437727	0.29387514723203767	0.727917121046892	0.38167938931297707	5.0515677023338	0.6908396946564885	2.4028056112224445	0.679439316955266	0.6537622682660851	0.4756554307116105	0.513930561508787	0.7061248527679623	0.7418761572573788	0.7193197154730883	4.236368179321289	0.0048062801361083984	1689629225.3191674	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	5	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.75726318359375	2.5457942485809326	2.1457672119140625e-05	3.814697265625e-06	4.291534423828125e-06	First-order LINE	252		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
